In what year were you born?,Quý vị được sinh ra năm nào?
What is the highest level of education that you have completed?,Trình độ học vấn cao nhất mà quý vị đã học xong là trình độ nào?
Year 8 or below,Lớp 8 hoặc thấp hơn
Year 9 ,Lớp 9 
Year 10 ,Lớp 10 
Year 11 ,Lớp 11 
Year 12 ,Lớp 12 
Certificate I ,Chứng chỉ Cấp I 
Certificate II ,Chứng chỉ Cấp II 
Certificate III ,Chứng chỉ Cấp III 
Certificate IV ,Chứng chỉ Cấp IV 
Diploma Level ,Trình độ Văn bằng 
Advanced Diploma and Associate Degree Level ,Trình độ Văn bằng Chuyên nghiệp và Bằng cấp Cao đẳng 
Bachelor Degree Level ,Trình độ Bằng cấp Cử nhân 
Graduate Certificate Level ,Trình độ Chứng chỉ Tốt nghiệp 
Graduate Diploma Level,Trình độ Bằng cấp Tốt nghiệp
Master Degree Level ,Trình độ Bằng cấp Thạc sĩ 
Doctoral Degree Level,Trình độ Bằng cấp Tiến sĩ
What is your postcode? (e.g. 2560),"Mã bưu điện của quý vị là bao nhiêu? (ví dụ, 2560)"
In which state or territory do you currently live?,Quý vị hiện đang sống tại tiểu bang hay lãnh thổ nào?
Australian Capital Territory ,Australian Capital Territory 
New South Wales,New South Wales
Northern Territory,Northern Territory
Queensland,Queensland
South Australia,South Australia
Tasmania,Tasmania
Victoria,Victoria
Western Australia,Western Australia
I do not live in Australia,Tôi không sống tại Úc
Were you born in Australia?,Có phải quý vị được sinh ra tại Úc?
In which year did you first come to Australia to live?,Lần đầu tiên quý vị đến Úc để sống là năm nào?
What are the ethnic or cultural origins of your ancestors? Select all that apply.,Tổ tiên của quý vị thuộc nguồn gốc sắc tộc hay tôn giáo nào? Xin quý vị chọn tất cả các nguồn gốc đúng với trường hợp của mình.
Acehnese,Người Aceh
Acholi,Người Acholi
Afghan,Người Afghanistan
African,Người Phi Châu
Afrikaner,Người Nam Phi gốc Âu
Akan,Người Akan
Albanian,Người Albani
Algerian,Người Algeria
American,Người Mỹ
Amhara,Người Amhara
Anglo-Burmese,Người Miến Điện gốc Anh
Anglo-Indian,Người Ấn Độ gốc Anh
Angolan,Người Angola
Arab,Người Ả Rập 
Argentinian,Người Argentina
Armenian,Người Armenia
Assyrian,Người Assyria
Australian,Người Úc
Austrian,Người Áo
Azeri,Người Azeri
Bahraini,Người Bahrain
Balinese,Người Bali
Bangladeshi,Người Bangladesh
Barbadian,Người Barbados
Bari,Người Bari
Basque,Người Basque
Batswana,Người Botswana
Belarusan,Người Belarus
Belgian,Người Bỉ
Bengali,Người Bengali
Berber,Người Berber
Bermudan,Người Bermuda
Bhutanese,Người Bhutan
Bolivian,Người Bolivia
Bosnian,Người Bosnia
Brazilian,Người Brazil
British,Người Anh
Bruneian,Người Brunei
Bulgarian,Người Bulgari
Burgher,Người Burgher
Burmese,Người Miến Điện
Burundian,Người Burundi
Cameroonian,Người Cameroon
Canadian,Người Canada
Catalan,Người Catalan
Chaldean,Người Xê-mít
Channel,Người Đảo Eo biển Măng sơ
Chilean,Người Chi Lê
Chin,Người Hán Tạng
Chinese,Người Hoa
Colombian,Người Colombia
Congolese,Người Congol
Cook,Người Đảo Cook
Coptic,Người Copt
Costa,Người Costa
Croatian,Người Croatia
Cuban,Người Cu ba
Cypriot,Người Cyp
Czech,Người Czech
Danish,Người Đan Mạch
Darfu/Darfurian,Người Darfu
Dinka,Người Dinka
Dutch,Người Hà Lan
Ecuadorian,Người Ecuado
Egyptian,Người Ai Cập
Emirati,Người Emirat
English,Người Anh
Eritrean,Người Eritrea
Estonian,Người Estonia
Ethiopian,Người Ethiopia
Fijian,Người Fiji
Fijian,Người Fiji
Filipino,Người Phi-líp-pin
Finnish,Người Phần Lan
Flemish,Người Flanders
French,Người Pháp
French,Người Pháp
Frisian,Người Đảo Frisian
Fulani,Người Fula
Georgian,Người Georgia
German,Người Đức
Ghanaian,Người Ghana
Gibraltarian,Người Gibraltar
Gio,Người Gio/Dan
Greek,Người Hy Lạp
Guatemalan,Người Guatemala
Gujarati,Người Gujarat
Guyanese,Người Guyan
Hawaiian,Người Hawaii
Hazara,Người Hazara
Hispanic,Người Châu Mỹ La tinh
Hmong,Người Hmong
Hungarian,Người Hungari
Hutu,Người Hutu
I-Kiribati,Người I-Kiribat
Icelandic,Người Iceland
Igbo,Người Igbo
Indian,Người Ấn Độ
Indonesian,Người In-đô-nê-xia
Iranian,Người Ba Tư
Iraqi,Người Iraq
Irish,Người Ai Len
Israeli,Người Israel
Italian,Người Ý
Ivorean,Người Ivoren
Jamaican,Người Jamaica
Japanese,Người Nhật 
Javanese,Người Java
Jewish,Người Do Thái
Jordanian,Người Jordan
Kadazan,Người Kadaza
Karen,Người Karen
Kashmiri,Người Kashmir
Kazakh,Người Kazakhstan
Kenyan,Người Kenya
Khmer,Người Khmer
Korean,Người Hàn Quốc
Krahn,Người Krahn
Kunama,Người Kunama
Kurdish,Người Kurd
Kuwaiti,Người Kuwait
Kyrgyz,Người Kyrgyzstan
Lao,Người Lào
Latvian,Người Latvia
Lebanese,Người Li Băng
Liberian,Người Liberia
Libyan,Người Li Bi
Lithuanian,Người Lithuania
Luxembourg,Người Luxembourg
Macedonian,Người Macedonia
Madi,Người Madi
Madurese,Người Madura
Malawian,Người Malawi
Malay,Người Mã Lai
Malayali,Người Malayali
Maldivian,Người Maldivia
Maltese,Người Malta
Mandaean,Người Mandaean
Mandinka,Người Mandinka
Manx,Người Đảo Man
Maori,Người Maori
Masai,Người Ma-xai
Mauritian,Người Maurit
Mayan,Người Maya
Mexican,Người Mê-hi-cô
Moldovan,Người Moldova
Mon,Người Môn
Mongolian,Người Mông Cổ
Montenegrin,Người Montenegro
Moroccan,Người Ma-rốc
Mozambican,Người Mozambic
Namibian,Người Namibia
Native,Người Bản địa
Nauruan,Người Nauru
Nepalese,Người Nepal
New Caledonian,Người New Caledonia
New Zealander,Người New Zealand
Ni-Vanuatu,Người Ni-Vanuatu
Nicaraguan,Người Nicaragua
Nigerian,Người Nigeria
Niuean,Người Niue
Norwegian,Người Na Uy
Nubian,Người Nubia
Nuer,Người Nuer
Ogaden,Người Ogaden
Omani,Người Oman
Oromo,Người Oromo
Pakistani,Người Pakistan
Palestinian,Người Palestin
Papua,Người Papua
Paraguayan,Người Paraguay
Parsi,Người Parsi
Pathan,Người Patha
Peruvian,Người Peru
Polish,Người Ba Lan
Portuguese,Người Bồ Đào Nha
Puerto,Người Puerto
Punjabi,Người Punjabi
Qatari,Người Qata
Rohingya,Người Rohingha
Roma,Người La Mã
Romanian,Người Romania
Russian,Người Nga
Rwandan,Người Rwanda
Salvadoran,Người Salvado
Samoan,Người Samoa
Saudi,Người Saudi
Scottish,Người Scốt lan
Senegalese,Người Senegal
Serbian,Người Serbia
Seychellois,Người Seychelles
Shona,Người Bantu 
Sierra,Người Sierra Leone
Sikh,Người Xích
Singaporean,Người Singapo
Sinhalese,Người Sinhala
Slovak,Người Slovakia
Slovene,Người Slovenia
Solomon,Người Solomon
Somali,Người Somali
Sorb/Wend,Người Sorb/Sla-vơ
South African,Người Nam Phi
South Sudanese,Người Nam Sudan
Southern,Người Nam
Spanish,Người Tây Ban Nha
Sri Lankan,Người Sri Lanka
Sri Lankan Tamil,Người Sri Lanka Tamil
Sudanese,Người Sudan
Sundanese,Người Sunda
Swahili,Người Swahili
Swazilander,Người Swaziland
Swedish,Người Thụy Điển
Swiss,Người Thụy Sĩ
Syrian,Người Syria
Tahitian,Người Tahiti
Taiwanese,Người Đài Loan
Tajik,Người Tajikistan
Tanzanian,Người Tanzania
Tatar,Người Tatar
Telugu,Người Telugu
Temoq,Người Temoq
Thai,Người Thái Lan
Themne,Người Theme
Tibetan,Người Tây Tạng
Tigrayan,Người Tigray
Tigre,Người Tigre
Timorese,Ngjười Timor
Togolese,Người Togol
Tokelauan,Người Tokelau
Tongan,Người Tonga
Trinidadian,Người Trinidad
Tunisian,Người Tunisi
Turkish,Người Thổ Nhĩ Kỳ
Turkmen,Người Turkmenistan
Tuvaluan,Người Tuvalu
Ugandan,Người Uganda
Uighur,Người Duy Ngô Nhĩ
Ukrainian,Người Ukraina
Uruguayan,Người Uruguay
Uzbek,Người Uzbekistan
Venezuelan,Người Venezuela
Vietnamese,Người Việt Nam
Vlach,Người Vlach
Welsh,Người xứ Wales
Yemeni,Người Yemen
Yoruba,Người Yoruba
Zambian,Người Zambia
Zimbabwean,Người Zimbabwe
Zulu,Người Zulu
What is the first language that you learned?,Ngôn ngữ đầu tiên quý vị học là ngôn ngữ nào?
English,Tiếng Anh
Afrikaans,Các ngôn ngữ Phi Châu
Albanian,Tiếng Albani
Amharic,Tiếng Amharic
Arabic,Tiếng Ả Rập 
Armenian,Tiếng Armenia
Assyrian/Aramaic,Tiếng Assyria/Tiếng Cận Đông Cổ đại
Auslan,Auslan (Ngôn ngữ ký hiệu)
Australian Indigenous Languages,Các ngôn ngữ Thổ dân Úc
Bengali,Tiếng Bengal
Bosnian,Tiếng Bosnia
Bulgarian,Tiếng Bulgari
Burmese,Tiếng Miến Điện
Cantonese,Tiếng Quảng Đông
Chin Haka,Tiếng Địa phương Chin Haka
Chinese,Tiếng Hoa
Croatian,Tiếng Croatia
Czech,Tiếng Czech
Danish,Tiếng Đan Mạch
Dinka,Tiếng Dinka
Dutch,Tiếng Hà Lan
Estonian,Tiếng Estonia
Fijian,Tiếng Fiji
Fijian Hindustani,Tiếng Fiji Ấn Độ
Filipino/Tagalog,Tiếng Phi-líp-pin/Tagalog
Finnish,Tiếng Phần Lan
French,Tiếng Pháp
German,Tiếng Đức
Greek,Tiếng Hy Lạp
Gujarati,Tiếng Gujarat
Hakka,Tiếng Địa phương Hakka
Hebrew,Tiếng Hebrew
Hindi,Tiếng Hindi
Hmong,Tiếng Hmong
Hungarian,Tiếng Hungari
Indo-Aryan,Tiếng Indo-Ấn Âu
Indonesian,Tiếng In-đô-nê-xia
Italian,Tiếng Ý
Japanese,Tiếng Nhật
Kannada,Tiếng Kannada
Karen,Tiếng Karen
Khmer,Tiếng Khmer
Korean,Tiếng Triều Tiên
Kurdish,Tiếng Kurdish
Lao,Tiếng Lào
Latvian,Tiếng Latvia
Macedonian,Tiếng Macedonia
Malay,Tiếng Mã Lai
Malayalam,Tiếng Malayalam
Maltese,Tiếng Malta
Mandarin,Tiếng Quan Thoại
Maori (Cook Island),Tiếng Maori (Đảo Cook)
Maori (New Zealand),Tiếng Maori (New Zealand)
Marathi,Tiếng Marathi
Min Nan (incl.Hokkien),Tiếng Min Nan (bao gồm Tiếng Phúc Kiến)
Nepali,Tiếng Nepal
Non-verbal,Phi lời nói
Norwegian,Tiếng Na Uy
Nuer,Tiếng Nuer
Oromo,Tiếng Oromo
Pashto,Tiếng Pashto
Persian/Dari,Tiếng Ba Tư/Tiếng Dari
Polish,Tiếng Ba Lan
Portuguese,Tiếng Bồ Đào Nha
Punjabi,Tiếng Punjabi
Romanian,Tiếng Romania
Russian,Tiếng Nga
Samoan,Tiếng Samoa
Serbian,Tiếng Serbia
"Serbo-Croatian, Yugoslavian","Tiếng Serbo-Croatia, Tiếng Yugoslavia"
Shona,Tiếng Bantu 
Sinhalese,Tiếng Sinhalese
Slovak,Tiếng Slovakia
Slovene,Tiếng Slovenia
Somali,Tiếng Somali
Spanish,Tiếng Tây Ban Nha
Swahili,Tiếng Swahili
Swedish,Tiếng Thụy Điển
Tamil,Tiếng Tamil
Telugu,Tiếng Telugu
Tetum,Tiếng Tetum
Thai,Tiếng Thái
Tibetan,Tiếng Tây Tạng
Tigrinya,Tiếng Semit
Tokelauan,Tiếng Tokelau
Tongan,Tiếng Tonga
Tswana,Tiếng Tswana (Bantu)
Turkish,Tiếng Thổ Nhĩ Kỳ
Ukrainian,Tiếng Ukraina
Urdu,Tiếng Urdu
Uygur,Tiếng Uygur
Vietnamese,Tiếng Việt
Wu,Tiếng Ngô
Yiddish,Tiếng Yiddish
Other language,Ngôn ngữ khác
"What is your religion, if you have one?","Quý vị theo tôn giáo nào, nếu có tôn giáo?"
No religion,Không có tôn giáo
No religion (Agnostic),Không có tôn giáo (Thuyết Bất Khả Tri)
No religion (Atheist),Không có tôn giáo (Thuyết Vô Thần)
Anglican/Church of England,Anh Giáo/Giáo Hội của Anh
Apostolic,Tông Đồ
Australian Aboriginal Religion,Tôn giáo Thổ dân Úc
Baptist,Tin Lành Báp-tít
Brethren,Đạo Hữu
Buddhist,Phật Giáo
Catholic,Công Giáo
Church of Christ,Giáo Hội của Chúa Cứu Thế
Eastern Orthodox,Chính Thống Giáo Phương Đông
Hinduism,Hin-đu
Islam,Hồi Giáo
Jehovah's Witness,Nhân Chứng Jehovah
Judaism,Do Thái Giáo
Latter-day Saints,Thánh Hữu Ngày Sau của Chúa Giê Su Ky Tô
Lutheran,Cơ Đốc Giáo Luther
Other Christian,Cơ Đốc Giáo Khác
Other Orthodox,Chính Thống Giáo Khác 
Pentecostal,Chúa Thánh Thần
Presbyterian,Giáo hội Trưởng lão 
Reformed,Tân Giáo
Salvation Army,Đội quân Cứu tế
Sikh,Đạo Xích
Uniting Church,Uniting Church
Other religion,Tôn giáo khác
"In the last Australian federal election, which party did you vote for as your first preference in the House of Representatives?","Trong cuộc bầu cử liên bang Úc vừa qua, quý vị đã bỏ phiếu cho đảng phái nào làm ưa chuộng số một của mình trong Hạ Viện?"
Australian Labor Party ,Đảng Lao động Úc 
Greens,Đảng Xanh
Independent,Đảng Độc lập
Liberal National Party ,Đảng Tự do Quốc gia 
Liberal Party,Đảng Tự do
National Party ,Đảng Quốc gia 
Country Liberals ,Đảng Tự do Miền Quê 
Pauline Hanson's One Nation  ,Đảng Một Quốc gia của bà Pauline Hanson  
United Australia Party ,Đảng nước Úc Đoàn kết 
Other party or candidate ,Đảng phái hay ứng viên khác 
Are you an Australian citizen?,Quý vị có phải là công dân Úc không?
Are you of Aboriginal or Torres Strait Islander origin?,Quý vị có thuộc nguồn gốc Thổ dân hay Dân Đảo Torres Strait không?
"And are you of Aboriginal origin, Torres Strait Islander origin or both?","Và quý vị có thuộc nguồn gốc Thổ dân, Dân Đảo Torres Strait hay cả hai không?"
Aboriginal ,Người Thổ dân 
Torres Strait Islander ,Người dân Đảo Torres Strait  
Both ,Cả hai 
Are you currently employed?,Quý vị hiện có đang đi làm không?
"Yes, currently employed ","Có, hiện đang đi làm "
"Yes, currently self-employed ","Có, hiện đang tự làm chủ "
"Is your employment full-time, part-time or casual?","Quý vị đang làm toàn thời, bán thời hay phụ đổng?"
Full-time  ,Toàn thời  
Part-time ,Bán thời 
Casual ,Phụ đổng 
Is your employment permanent or a fixed term contract?,Quý vị được tuyển dụng vĩnh viễn hay theo hợp đồng có thời hạn ấn định?
Permanent ,Vĩnh viễn 
Fixed term ,Thời hạn ấn định 
Which of the following best describes your current status?,Tình trạng nào sau đây mô tả đúng nhất tình trạng hiện nay của quý vị?
Unemployed (searching for employment) ,Thất nghiệp (đang tìm việc) 
Unemployed (not currently searching for employment) ,Thất nghiệp (nhưng hiện đang không tìm việc) 
Retired ,Nghỉ hưu 
Student  ,Sinh viên  
Stay-at-home parent ,Ở nhà nuôi con 
Which of the following describes your combined family income before taxes?,Những con số nào sau đây mô tả lợi tức gia đình gộp chung trước thuế của quý vị?
Nil or negative income,Không hoặc lợi tức âm
"$1 to $199 per week (or $1 to $10,399 per year)",Từ 1 đô-la đến 199 đô-la mỗi tuần (hay từ 1 đô-la đến 10.399 đô-la mỗi năm)
"$200 to $299 per week (or $10,400 to $15,599 per year)",Từ 200 đô-la đến 299 đô-la mỗi tuần (hay từ 10.400 đô-la đến 15.599 đô-la mỗi năm)
"$300 to $399 per week (or $15,600 to $20,799 per year) ",Từ 300 đô-la đến 399 đô-la mỗi tuần (hay từ 15.600 đô-la đến 20.799 đô-la mỗi năm) 
"$400 to $599 per week (or $20,800 to $31,199 per year) ",Từ 400 đô-la đến 599 đô-la mỗi tuần (hay từ 20.800 đô-la đến 31.199 đô-la mỗi năm) 
"$600 to $799 per week (or $31,200 to $41,599 per year) ","Từ 600 đô-la đến 799 đô-la mỗi tuần (hay từ 31,.200 đô-la đến 41.599 đô-la mỗi năm) "
"$800 to $999 dollars per week (or $41,600 to $51,999 per year)",Từ 800 đô-la đến 999 đô-la mỗi tuần (hay từ 41.600 đô-la đến 51.999 đô-la mỗi năm)
"$1,000 to $1,249 per week (or $52,000 to $64,999 per year)",Từ 1.000 đô-la đến 1.249 đô-la mỗi tuần (hay từ 52.000 đô-la đến 64.999 đô-la mỗi năm)
"$1,250 to $1,499 per week (or $65,000 to $77,999 per year) ",Từ 1.250 đô-la đến 1.499 đô-la mỗi tuần (hay từ 65.000 đô-la đến 77.999 đô-la mỗi năm) 
"$1,500 to $1,999 per week (or $78,000 to $103,999 per year)",Từ 1.500 đô-la đến 1.999 đô-la mỗi tuần (hay từ 78.000 đô-la đến 103.999 đô-la mỗi năm)
"$2,000 to $2,499 per week (or $104,000 to $129,999 per year) ",Từ 2.000 đô-la đến 2.499 đô-la mỗi tuần (hay từ 104.000 đô-la đến 129.999 đô-la mỗi năm) 
"$2,500 to $2,999 per week (or $130,000 to $155,999 per year) ",Từ 2.500 đô-la đến 2.999 đô-la mỗi tuần (hay từ 130.000 đô-la đến 155.999 đô-la mỗi năm) 
"$3,000 to $3,499 per week (or $156,000 to $181,999 per year) ",Từ 3.000 đô-la đến 3.499 đô-la mỗi tuần (hay từ 156.000 đô-la đến 181.999 đô-la mỗi năm) 
"$3,500 to $3,999 per week (or $182,000 to $207,999 per year) ",Từ 3.500 đô-la đến 3.999 đô-la mỗi tuần (hay từ 182.000 đô-la đến 207.999 đô-la mỗi năm) 
"$4,000 to $4,999 per week (or $208,000 to $259,999 per year) ",Từ 4.000 đô-la đến 4.999 đô-la mỗi tuần (hay từ 208.000 đô-la đến 259.999 đô-la mỗi năm) 
"$5,000 or more per week (or $260,000 or more per year)",5.000 đô-la hoặc hơn mỗi tuần (hay 260.000 đô-la hoặc hơn mỗi năm)
Australia Talks is a collaboration between the ABC and Vox Pop Labs. Data collected by Vox Pop Labs is used in accordance with this Privacy Statement ,Australia Talks là sự cộng tác giữa ABC và Vox Pop Labs. Dữ liệu do Vox Pop Labs thu thập được sử dụng tuân theo Bản Tuyên bố về Quyền Riêng tư này 
Not at all a problem.,Hoàn toàn không là vấn đề gì
Not much of a problem ,Không là vấn đề 
Somewhat a problem ,Tương đối là vấn đề 
Very much a problem ,Rất là vấn đề 
Poor,Tồi tệ
Fair,Trung bình
Good,Tốt
Very Good,Rất tốt
Excellent,Tuyệt vời
Let's get personal,Hãy cụ thể về cá nhân
"First up, let's find out how your habits and personal experiences match up with the rest of Australia.","Trước tiên, hãy tìm hiểu xem các thói quen và trải nghiệm cá nhân của quý vị giống với của những người còn lại của Úc thế nào."
What keeps you up at night?,Những gì khiến quý vị phiền muộn?
We asked your opinion on some of the big challenges facing Australia as it heads into the year 2020. Now it's time to find out how your views compare with other Aussies.,Chúng tôi đã hỏi quan điểm của quý vị về một vài trong số các thách thức lớn mà nước Úc đang gặp phải khi tiến đến năm 2020. Giờ là lúc để tìm hiểu xem các quan điểm của quý vị là thế nào khi so sánh với những người Úc khác.
What's got Australia talking?,Những gì đang khiến nước Úc lên tiếng?
"It's easy to live in our own little bubble these days, and sometimes it can be hard to know where your views fit into the overall picture.","Ngày nay, thật dễ để sống xa vời thực tế, và đôi khi việc biết được các quan điểm của mình khớp vào chỗ nào trong bức tranh tổng thể, có thể là chuyện khó."
How optimistic are we?,Chúng ta lạc quan ở mức độ nào?
Let's take a look at how Australians are feeling about what the future might hold in store.,Hãy xem người Úc đang cảm thấy thế nào về những gì tương lai phía trước có thể mang đến.
What would make you happier?,Những gì có thể làm cho quý vị hạnh phúc hơn?
"The state of the world is clearly a worry for many Aussies, but closer to home here are some of the things many of us think would make us personally happier.","Tình trạng của thế giới rõ ràng là nỗi lo lắng đối với nhiều người Úc, nhưng gần hơn là đất nước của chúng ta, thì đây là một vài trong số những điều mà nhiều người trong chúng ta nghĩ là có thể làm cho cá nhân chúng ta hạnh phúc hơn. "
Yes,Có
No,Không
Strongly disagree,Hoàn toàn không đồng ý
Somewhat disagree,Tương đối không đồng ý 
Neutral,Trung lập
Somewhat agree,Tương đối đồng ý 
Strongly agree,Hoàn toàn đồng ý
Don't know ,Không biết
Never,Không bao giờ
Less than once a year,Ít hơn một lần mỗi năm
At least once a year,Ít nhất một lần mỗi năm
At least once a month,Ít nhất một lần mỗi tháng
At least once a week,Ít nhất một lần mỗi tuần
At least once a day,Ít nhất một lần mỗi ngày
Prefer not to say ,Không muốn nói
Very dissatisfied  ,Rất không hài lòng
Somewhat dissatisfied  ,Tương đối không hài lòng
Somewhat satisfied,Tương đối hài lòng
Very satisfied,Rất hài lòng
Much worse off,Bất lợi hơn nhiều
Somewhat worse off  ,Tương đối bất lợi hơn 
About the same,Tương tự như trước
Somewhat better off,Tương đối thuận lợi hơn
Much better off,Thuận lợi hơn nhiều
Very pessimistic,Rất bi quan
Somewhat pessimistic,Tương đối bi quan
Moderately optimistic,Tương đối lạc quan
Very optimistic,Rất lạc quan
Don’t know,Không biết
Nothing at all,Không chút nào
Between $100 and $500,Trong khoảng $100 đến $500
Between $500 and $1000,Trong khoảng $500 đến $1000
Between $1000 and $2000,Trong khoảng $1000 đến $2000
More than $2000,Trên $2000
Not at all important,Không quan trọng chút nào 
Very important,Rất quan trọng
Not at all open,Không cởi mở chút nào
Neutral,Trung lập
Very open,Rất cởi mở
Never,Không bao giờ
Rarely,Hiếm khi
Occasionally,Thỉnh thoảng
Fairly often,Hơi thường xuyên
Quite often,Tương đối thường xuyên
Often,Thường xuyên
Always,Luôn luôn
More positive,Tích cực hơn
More negative,Tiêu cực hơn
Neither,Cả hai đều không
Not at all Australian,Không hề Úc chút nào
Very Australian,Rất Úc
Not at all concerned  ,Không lo ngại chút nào
Not too concerned  ,Không quá lo ngại
Somewhat concerned ,Tương đối lo ngại
Very concerned  ,Rất lo ngại
Not at all confident  ,Không tin tưởng chút nào
Not very confident  ,Không tin tưởng lắm
Somewhat confident  ,Tương đối tin tưởng
Very confident  ,Rất tin tưởng
You're pretty neighbourly,Quý vị khá hòa thuận với hàng xóm láng giềng
I know many of my neighbours by name.,Tôi biết tên nhiều người hàng xóm của mình.
You're less familiar with your neighbours than most Aussies,Quý vị ít quen thuộc với những người hàng xóm của mình hơn so với hầu hết người Úc
I know many of my neighbours by name.,Tôi biết tên nhiều người hàng xóm của mình.
Aussies are a pretty neighbourly bunch,Người Úc là những người khá hòa thuận với hàng xóm láng giềng
I know many of my neighbours by name.,Tôi biết tên nhiều người hàng xóm của mình.
You're more of a people person — so are 51% of Aussies,Quý vị là người ưa gặp gỡ tiếp xúc với mọi người hơn - 51% người Úc cũng vậy
But nearly one in three people would rather be hanging out with their furry friends. (Can you really blame them?),Nhưng gần một phần ba mọi người thà chơi với những người bạn là thú cưng của mình còn hơn. (Quý vị có thể thật sự chỉ trích họ được không?)
I would rather spend time with pets than people.,Tôi thà dành thời gian với thú cưng hơn là với người.
"Like nearly 1 in 3 Aussies, you'd rather hang with pets than people","Giống như gần một phần ba người Úc, quý vị thà chơi với thú cưng hơn là với người"
"A slim majority of Australians may prefer to spend time with other humans, but you're far from alone in feeling that sometimes puppers and moggies are better company.","Có một đa số mong manh người Úc có thể thích dành thời gian với con người, nhưng không chỉ mình quý vị cảm thấy là đôi khi chó mèo lại là bầu bạn tốt hơn."
I would rather spend time with pets than people.,Tôi thà dành thời gian với thú cưng hơn là với người.
For nearly 1 in 3 Aussies it's pets over people,"Đối với gần một phần ba người Úc, thú cưng còn hơn người"
"Most Australians choose people over pets, but there are still plenty who say they'd rather hang out with their furry friends.","Hầu hết người Úc chọn người hơn thú cưng, nhưng vẫn có nhiều người nói là họ thà chơi với những người bạn là thú cưng của mình còn hơn."
I would rather spend time with pets than people.,Tôi thà dành thời gian với thú cưng hơn là với người.
Most people your age are also seeing their friends weekly,Hầu hết mọi người ở tuổi quý vị còn gặp bạn bè của mình mỗi tuần
Proportion of Australians who see their friends at least once a week.,Có một tỉ lệ người Úc gặp bạn bè của mình ít nhất một lần mỗi tuần. 
You're seeing friends at least once a week — that's more than some your age,Quý vị gặp bạn bè ít nhất một lần mỗi tuần – vậy là hơn một số người khác ở tuổi của quý vị
"Time spent with friends can take a bit of a hit when people are in their 30s, and doesn't really bounce back until they're in their 60s.","Thời gian với bạn bè có thể đạt mức cao nhất khi người ta ở tuổi 30, và không thật sự trở lại được như vậy cho mãi tới khi người ta ở tuổi 60."
Proportion of Australians who see their friends at least once a week.,Một tỉ lệ người Úc gặp bạn bè của mình ít nhất một lần mỗi tuần. 
"Like most Aussies over 65, you're seeing friends at least once a week","Giống như hầu hết người Úc trên 65 tuổi, quý vị gặp bạn bè ít nhất một lần mỗi tuần"
"Aussies aged over 65 are just social as people in their 20s! It's like the summer of '69, or '79 ... all over again.","Những người Úc trên 65 tuổi cũng giao du xã hội như những người ở tuổi 20 vậy! Giống như mùa hè thời năm '69, hay '79 ... lại lặp lại."
Proportion of Australians who see their friends at least once a week.,Có một tỉ lệ người Úc gặp bạn bè của mình ít nhất một lần mỗi tuần. 
