en,ar
Hispanic,أصول إسبانية (أمريكا اللاتينية)
Hmong,همونج
Hungarian,هنجارية
Hutu,هوتو
I-Kiribati,كيريباسية
Icelandic,أيسلندية
Igbo,إيبو
Indian,هندية
Indonesian,إندونيسية
Iranian,إيرانية
Iraqi,عراقية
Irish,أيرلندية
Israeli,إسرائيلية
Italian,إيطالية
Ivorean,ساحل العاج
Jamaican,جامايكية
Japanese,يابانية
Javanese,جزيرة جاوة
Jewish,يهودية
Jordanian,أردنية
Kadazan,كادازانية
Karen,كارين
Kashmiri,كشميرية
Kazakh,كازاخية
Kenyan,كينية
Khmer,خمير
Korean,كورية
Krahn,كران
Kunama,كوناما
Kurdish,كردية
Kuwaiti,كويتية
Kyrgyz,قيرغيزستانية
Lao,لاوسية
Latvian,لاتفية
Lebanese,لبنانية
Liberian,ليبيرية
Libyan,ليبية
Lithuanian,لتوانية
Luxembourg,لوكسمبورج
Macedonian,مقدونية
Madi,مادي
Madurese,مادريزية
Malawian,مالاوية
Malay,مالايو
Malayali,مالايالية
Maldivian,مالديفية
Maltese,مالطية
Mandaean,مندائية
Mandinka,ماندينكا
Manx,مانكس
Maori,ماورية
Masai,ماساي
Mauritian,مويشيوس
Mayan,مايا
Mexican,مكسيكية
Moldovan,مولوفية
Mon,مون
Mongolian,منغولية
Montenegrin,الجبل الأسود
Moroccan,مغربية
Mozambican,موزمبيقية
Namibian,ناميبية
Native,سكان أمريكا الأصليين
Nauruan,ناورو
Nepalese,نيبالية
New,نيو كاليدونية
New,نيوزيلندية
Ni-Vanuatu,ني فاناواتو
Nicaraguan,نيكاراجوية
Nigerian,نيجيرية
Niuean,نيوي
Norwegian,نرويجية
Nubian,نوبية
Nuer,نوير
Ogaden,أوجادين
Omani,عُمانية
Oromo,أورومو
Pakistani,باكستانية
Palestinian,فلسطينية
Papua,بابوا
Paraguayan,باراجواية
Parsi,بارسي
Pathan,باتان
Peruvian,بيرو
Polish,بولندية
Portuguese,برتغالية
Puerto,بورتوريكو
Punjabi,بنجابية
Qatari,قطرية
Rohingya,روهينغيا
Roma,روما (غجرية)
Romanian,رومانية
Russian,روسية
Rwandan,رواندية
Salvadoran,سالفادورية
Samoan,ساموا
Saudi,سعودية
Scottish,إسكتلندية
Senegales,سنغالية
Serbian,صربية
Seychellois,سيشل
Shona,شونا
Sierra,سيراليونية
Sikh,سيخ
Singaporean,سنغافورية
Sinhalese,سنهالية
Slovak,سلوفاكية
Slovene,سلوفينية
Solomon,جزر سولومون
Somali,صومالية
Sorb/Wend,صورب/ويند (قبائل سلافية)
South,جنوب أفريقية
South,جنوب سودانية
Southern,جنوب آسيوية
Spanish,إسبانية
Sri,سريلانكية
Sri,سريلانكية تاميل
Sudanese,سودانية
Sundanese,سونديونية
Swahili,سواحيلية
Swazilander,سوازيلاندية
Swedish,سويدية
Swiss,سويسرية
Syrian,سورية
Tahitian,تاهيتية
Taiwanese,تايوانية
Tajik,طاجيكية
Tanzanian,تنزانية
Tatar,تتارية
Telugu,تيلجو
Temoq,تيموك (مالاي)
Thai,تايلاندية
Themne,تمني (سيراليون)
Tibetan,تبت
Tigrayan,تيجرايان
Tigre,تيجري
Timorese,تيمورية
Togolese,توغولية
Tokelauan,توكيلاو
Tongan,تونجا
Trinidadian,ترينيداد
Tunisian,تونسية
Turkish,تركية
Turkmen,تركمانية
Tuvaluan,توفالية
Ugandan,أوغندية
Uighur,يوغورية
Ukrainian,أوكرانية
Uruguayan,أوروجواي
Uzbek,أوزبكية
Venezuelan,فنزويلية
Vietnamese,فيتنامية
Vlach,فلاك
Welsh,ويلز
Yemeni,يمنية
Yoruba,يوروبا
Zambian,زامبية
Zimbabwean,زيمبابوية
Zulu,زولو
